@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
15,'2017/02/12 15:43:22:461',1,420.193848,399.887848,36.925652,328.766388,420.024933,64.06781,285.400513,422.722046,68.197441,241.744156,425.020203,66.75808,162.343414,430.898651,61.503357,388.745331,231.57782,62.332108,487.726929,222.897797,81.144836,552.273193,218.961914,83.036102,598.490906,219.882629,80.669861,674.824097,227.980804,72.880135,0,0,0,0
16,'2017/02/12 15:43:22:512',1,420.229431,399.821167,36.966034,328.628418,419.934601,64.105164,285.419098,422.651245,68.224144,241.640228,424.954315,66.782028,162.348099,430.784424,61.522408,388.491425,231.089172,62.293633,487.514832,222.931335,81.178123,552.030762,218.956787,83.079536,598.235718,219.941986,80.717026,674.635254,227.975952,72.939819,0,0,0,0
17,'2017/02/12 15:43:22:560',1,420.19693,399.103577,36.926208,328.607574,419.722229,64.160164,285.500397,422.487122,68.271294,241.679932,424.826599,66.825638,162.549896,430.73996,61.560734,388.220703,231.086304,62.339973,487.289307,222.996521,81.24543,551.822144,218.955292,83.146347,597.985901,219.9599,80.782692,674.376343,227.96106,73.008514,0,0,0,0
18,'2017/02/12 15:43:22:611',1,420.0625,398.214844,36.908848,328.398132,419.12677,64.173698,285.328766,421.902252,68.276199,241.549759,424.264557,66.821091,162.435501,430.014679,61.554268,387.774933,230.868958,62.41217,487.05246,223.005554,81.340675,551.638977,218.994141,83.240883,597.678589,220.08136,80.876892,674.012878,228.172241,73.102554,0,0,0,0
19,'2017/02/12 15:43:22:660',1,419.741913,397.9422,36.871326,328.317505,418.829529,64.123924,285.323181,421.613647,68.225372,241.593231,424.041382,66.766693,162.408142,429.638062,61.51115,387.494629,230.646393,62.452423,486.930725,222.953369,81.395142,551.560852,218.972107,83.293854,597.516235,220.150543,80.9291,673.822998,228.329865,73.154839,0,0,0,0
20,'2017/02/12 15:43:22:710',1,419.609131,397.897949,36.833599,328.41748,418.867523,64.146248,285.463501,421.671417,68.250603,241.733505,424.151855,66.793861,162.395126,429.671021,61.550739,387.288452,230.463043,62.473179,486.858887,222.917419,81.432579,551.492371,218.939453,83.330673,597.407471,220.163757,80.966057,673.695068,228.400665,73.193321,0,0,0,0
21,'2017/02/12 15:43:22:761',1,419.531616,397.901276,36.758045,328.212158,419.037476,64.18708,285.325928,421.86084,68.287621,241.522919,424.341858,66.830406,162.112518,429.768158,61.588486,387.184814,230.437195,62.493324,486.834167,222.892487,81.457802,551.47406,218.837433,83.356262,597.353516,220.114685,80.990997,673.651855,228.337769,73.219315,0,0,0,0
22,'2017/02/12 15:43:22:813',1,419.410522,397.918793,36.697765,327.51593,419.341736,64.23526,284.717987,422.206177,68.31646,240.801804,424.699707,66.848328,161.37796,430.067322,61.586617,387.107697,230.453491,62.497536,486.849091,222.928497,81.467339,551.517883,218.715332,83.367111,597.328979,220.121216,80.997322,673.616943,228.233429,73.223511,0,0,0,0
23,'2017/02/12 15:43:22:861',1,419.957245,398.598053,36.555088,327.887543,422.067017,64.244225,284.901855,424.239716,68.334671,240.494064,426.19751,66.87191,161.046478,431.475372,61.571457,387.118134,230.518677,62.488407,486.903381,222.932343,81.464676,551.549988,218.513306,83.370392,597.307373,220.035828,80.992828,673.621094,227.90094,73.2136,0,0,0,0
24,'2017/02/12 15:43:22:911',1,420.941589,398.552368,36.443588,328.412567,424.761047,64.298637,284.854736,425.928406,68.401642,240.166229,427.853668,66.922501,159.775375,432.341614,61.561733,387.483856,230.719818,62.437794,487.108124,222.779358,81.447632,551.592346,218.159302,83.367195,597.436035,219.424713,80.98893,673.875488,226.7948,73.20639,0,0,0,0
25,'2017/02/12 15:43:22:961',1,422.650269,398.891663,36.350464,330.996704,429.03772,64.20295,286.13858,427.720764,68.408844,240.441757,428.939392,66.958893,159.972794,433.572327,61.518703,387.656433,230.486877,62.391254,487.299164,222.402374,81.44178,551.75708,217.724365,83.367722,597.601685,219.055481,80.984695,674.048828,226.296509,73.201675,0,0,0,0
26,'2017/02/12 15:43:23:011',1,423.138794,398.734863,36.324268,330.458313,427.33606,64.306717,286.136047,427.733765,68.448807,239.785797,428.773987,67.014725,159.487015,433.405212,61.530846,388.02121,230.029083,62.347019,487.621582,221.681122,81.433022,552.140259,216.627686,83.36026,597.880493,218.126434,80.966118,674.321899,225.248322,73.178062,0,0,0,0
27,'2017/02/12 15:43:23:060',1,423.865662,398.571228,36.236351,332.665344,430.177979,64.184982,286.563538,427.945068,68.449257,240.344009,429.05304,67.027,158.743332,433.037384,61.501427,388.422302,230.043762,62.339241,487.911682,221.047577,81.423462,552.399353,215.69165,83.349632,598.042114,217.260437,80.946732,674.550903,224.198822,73.151199,0,0,0,0
28,'2017/02/12 15:43:23:111',1,423.394928,398.3909,36.146599,333.653076,431.681091,64.031677,286.357452,427.972595,68.389153,240.462921,429.242432,66.976875,158.475327,432.939453,61.4487,388.618683,230.12265,62.338715,487.843292,220.295563,81.41925,552.507568,215.050842,83.347092,597.993408,216.77948,80.940895,674.437134,223.850403,73.141075,0,0,0,0
29,'2017/02/12 15:43:23:161',1,422.107239,398.215393,36.050545,334.141693,433.631744,63.724785,285.715607,428.832275,68.181839,240.319885,430.066162,66.778992,157.994965,433.65152,61.255585,388.908508,230.94104,62.340549,487.789886,219.759949,81.398384,552.448242,214.562958,83.337776,597.928406,216.514893,80.928421,674.479126,223.270813,73.133842,0,0,0,0
30,'2017/02/12 15:43:23:213',1,421.341553,398.548248,36.164749,333.347748,432.113922,63.711002,285.266815,428.816559,68.123032,239.888885,430.180969,66.718224,157.569244,433.738586,61.192848,389.034088,231.17395,62.321434,487.764954,219.609406,81.386002,552.418579,214.440491,83.33197,597.917114,216.432678,80.922165,674.562256,222.993744,73.129578,0,0,0,0
31,'2017/02/12 15:43:23:264',1,418.300323,398.32782,36.308037,329.725616,428.611938,63.66954,283.02356,428.740692,67.977997,237.821259,430.394226,66.565071,155.602936,434.08252,61.040199,389.249878,231.595947,62.276596,487.65509,219.320953,81.362106,552.335449,214.138245,83.321991,597.883301,216.288025,80.909859,674.722168,222.43454,73.122429,0,0,0,0
32,'2017/02/12 15:43:23:312',1,416.736664,397.633423,36.267353,328.44696,427.565002,63.602375,282.135071,428.473541,67.895691,237.028656,430.151978,66.486473,155.349228,433.935913,60.980053,389.474365,231.579193,62.208214,487.548401,219.193848,81.329575,552.198303,213.940186,83.307755,597.784546,216.143127,80.897812,674.777832,221.994476,73.116928,0,0,0,0
33,'2017/02/12 15:43:23:362',1,415.652008,397.172394,36.315861,327.01593,426.349976,63.586693,281.041199,428.017151,67.848228,236.138138,429.720551,66.425972,154.873627,433.541992,60.919086,389.685516,231.386353,62.152763,487.254333,218.768951,81.326393,551.857544,213.375427,83.330368,597.541016,215.600555,80.928986,674.734009,221.12027,73.161079,0,0,0,0
34,'2017/02/12 15:43:23:409',1,414.679108,396.978851,36.486881,325.521942,425.148926,63.612671,279.729614,427.391998,67.841476,235.157028,429.333832,66.395935,154.483704,433.189362,60.879471,389.434082,230.118256,62.045845,486.766998,218.087708,81.35704,551.261841,212.648651,83.39669,597.033508,214.969452,81.015816,674.473267,220.409973,73.280457,0,0,0,0
35,'2017/02/12 15:43:23:462',1,414.507507,396.851044,36.550556,324.805756,424.81073,63.633705,279.038605,427.316528,67.837547,234.884888,429.341522,66.369934,154.643555,433.138611,60.845612,389.132294,229.349182,61.997841,486.216736,217.508789,81.37999,550.716736,212.160706,83.437561,596.543823,214.584106,81.064972,674.102661,219.93985,73.34552,0,0,0,0
36,'2017/02/12 15:43:23:510',1,413.838654,396.65033,36.723099,323.266937,424.074951,63.719944,277.447876,426.930206,67.886993,233.912567,429.151703,66.383102,154.361771,432.877686,60.843834,388.124969,229.832489,62.111813,485.493591,216.768921,81.431122,549.876038,211.193726,83.462006,595.853394,213.975037,81.054962,673.202515,219.051392,73.292145,0,0,0,0
37,'2017/02/12 15:43:23:563',1,413.438934,396.913483,36.858078,322.27356,423.76297,63.787186,276.40033,426.716736,67.939072,233.27417,429.064423,66.414131,153.746246,432.637634,60.874004,387.539795,230.102234,62.172081,484.914215,216.150269,81.458832,549.254333,210.671875,83.482849,595.279175,213.579224,81.060036,672.556641,218.621613,73.274666,0,0,0,0
38,'2017/02/12 15:43:23:613',1,412.922791,397.222443,36.983994,321.137421,423.538361,63.857685,275.29834,426.740723,67.989914,232.440323,429.056763,66.452271,152.763412,432.348633,60.913216,386.924683,229.773865,62.144615,484.124542,215.731415,81.46196,548.369873,210.350342,83.499603,594.485229,213.39859,81.068192,671.838135,218.241608,73.27626,0,0,0,0
39,'2017/02/12 15:43:23:662',1,411.888458,397.746033,37.085125,319.405212,423.526855,63.923836,273.625153,427.100342,68.024773,231.107788,429.31308,66.469543,151.057129,431.76178,60.953239,383.042572,233.555969,61.993141,482.28418,215.153442,81.368179,546.533081,209.882263,83.431686,592.729736,213.329346,80.963531,670.110474,217.533936,73.147011,0,0,0,0
40,'2017/02/12 15:43:23:711',1,411.253662,397.9375,37.095604,318.616089,423.564758,63.940601,272.895874,427.415039,68.027992,230.644623,429.579681,66.463379,150.059326,431.448242,60.973736,383.047791,233.685272,61.846062,481.466064,215.530823,81.314148,545.484192,209.459473,83.447678,591.871338,213.42572,80.971634,669.545044,217.107178,73.188606,0,0,0,0
41,'2017/02/12 15:43:23:762',1,410.326202,398.284668,37.080559,317.765747,423.721283,63.977089,272.007019,427.674255,68.070908,230.195465,429.816864,66.501175,149.281281,431.282501,61.063881,383.58783,234.412842,61.734558,480.705597,215.510162,81.285095,544.689819,208.876801,83.480446,591.178711,213.19751,81.003578,669.168823,216.292053,73.270622,0,0,0,0
42,'2017/02/12 15:43:23:811',1,411.069733,400.213745,37.192337,319.287872,426.471466,64.007164,273.180908,429.789307,68.152222,230.830917,431.010406,66.629982,151.309998,433.22583,61.210136,383.679718,244.457367,61.449753,479.527069,215.463593,81.215958,543.555542,208.504852,83.492233,590.269714,212.606171,81.023819,668.762817,214.239014,73.359108,0,0,0,0
43,'2017/02/12 15:43:23:866',1,411.386749,400.523193,37.239113,318.850708,426.33374,64.071518,272.884155,429.897339,68.192978,230.427002,431.062714,66.669144,151.37796,433.559387,61.231449,386.620392,250.634659,61.177574,478.126404,215.968567,81.042023,542.112183,208.116302,83.423401,588.762024,212.170502,80.936913,667.415466,212.370972,73.319183,0,0,0,0
